text,emotion,hr,hrv,eda
@USER @USER @USER @USER @USER Education is devolved and is an utter shambles. The snp are in charge of it and neither the conservatives or brexit are a factor.,neutral,61.4,55.6,2.14
@USER  My. Arms. Wasn't. That. Big! N. Neither. Was. My. Boobs! They. Are. Now! From. Them. Injecting. Fat! Into. My. Body!,frustration,96.3,26.3,5.4
@USER Could CBC get liberals to tell us the definition of middle class? They don't seem to know.  Also MPs use the term ordinary canadians.  Are these born Canadians?  Special are boarder crossers? I would love an answer.  Liberals are in mute on this point.  Butthead has not told them,neutral,61.0,53.9,1.27
@USER Are you lot trying to rival West Ham for infighting amongst the fanbase?This is priceless though. Still not quite up there with West Ham however. Nothing will beat the Antifa entryist conspiracy theory,calm,65.4,81.7,1.29
@USER He should tell that to Big Bubba when he enters his prison cell,calm,60.2,86.1,1.5
@USER @USER @USER And Republicans wanted moderates when obama was president and we go the way liberals Kagan and Sotomayer,neutral,73.8,59.2,2.65
@USER I get several of these per week as well. They all seem to be stranded in Ghana or something like that and need me to transfer money to them.  One used the picture of Polish model Ewa Sonnet (don't ask me how I know who she is...),calm,67.8,84.6,0.63
@USER @USER @USER @USER @USER @USER @USER @USER @USER Poetic words Comrade...I'm going to have them printed on T-Shirts soon to be available at the Antifa store!! URL,calm,65.1,76.6,1.55
@USER my mom left me a whole big squash. Any recipes you recommend I can do with a squash ??😅,neutral,70.1,67.6,1.2
@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,neutral,71.3,58.5,2.31
@USER @USER Problem is your Senator Marco Rubio is on the NRA payroll. He’s taken over 3 million dollars from NRA and isn’t going to do anything about sensible gun control,neutral,74.7,68.2,1.61
@USER Anybody notice this? URL URL,neutral,60.6,59.8,1.4
@USER @USER @USER Go for it!,neutral,66.4,61.9,1.78
@USER And they say Russia is the hackers.. Hmmm...,disgust,86.0,48.7,6.97
@USER You are a beautiful model &amp; HWs were jealous of that. I agree that Kendall should stay how she is &amp; not have all that phony plastic surgery like her sisters. I don't event recognize Khloe anymore. Kylie needs to stop w/fillers. She's pretty on her own &amp; not overdue it,neutral,76.3,53.0,1.71
@USER @USER Security are paid to protect you from trash and crazy people,disgust,86.3,51.9,6.91
@USER Can this guy get any lower?  One of the dumbest people in our country!  How did anyone in Arizona voted for this idiot?,hate,92.4,23.6,8.71
@USER Everyone saying Fuck Russ dont know a damn thing about him or watched the interview 🤷‍♂️🤷‍♂️🤷‍♂️,anger,105.8,38.7,6.99
I think @USER knows what he's doing. It's a lose-lose proposition no matter what he does.  Kind of like being a referee at a dog fight.  I'll reserve judgement until Monday. I definitely see where you're coming from.  #MAGA #KAG2018 #KavanaughConfirmation URL,neutral,75.9,64.6,2.56
@USER Had to create a whole fake page just to talk  shit. 🙄 sis is really just miserable #sad,anger,100.2,27.0,5.15
@USER @USER He is what he is by now.,neutral,67.1,58.5,2.49
@USER @USER oh shit you weren't joking... wtf,anger,107.0,34.4,6.25
@USER He is still eating and talking about p**sy on carter V. Trust me,hate,94.5,25.4,5.48
@USER Right. Punish the GOP because of two cucks. That's the ticket to getting more conservatives out there.,neutral,62.6,52.3,2.45
@USER but you ARE the coolest dude,neutral,65.2,59.0,2.96
@USER White liberals like you and your colored ilk are easily worse than bigots. You are nothing but a coward and victim-hood enabler who wants to keep my kind impoverished via welfare and identity politics. Thank God more people are seeing your evil for what it is,contempt,82.5,42.1,3.75
@USER Give me a fricking break.  They are worse than the Southern Baptist with a pagan idolatrous.,anger,109.6,38.6,7.0
@USER thank you Mr President for helping to #MAGA,calm,69.2,81.4,0.96
@USER @USER Don’t you know?  Trump runs everything himself. He is hands on. Except when he’s not then he has never met that guy but has heard he’s very bad.,neutral,70.7,57.5,2.21
@USER @USER Guess he is good enough at math to turn 1 million dollars that his father loaned him into a multibillion dollar empire...,calm,63.9,83.8,0.77
@USER @USER @USER ... those are conservative values? Last time I checked those were more descriptive of liberals than conservatives,neutral,62.9,50.7,1.16
#Funny and #Hilarious #Meme for #Brexit people to deal with #Remainers .. as they simply have failed to put up a single argument and I am sure they are all #Leftists  #HardBrexit #MBGA #MAGA #MCGA #MEGA #Conservatives #Patriots URL,neutral,64.0,63.9,2.78
@USER Got to love the future of the democratic party though...,calm,61.4,79.4,0.72
And #JoeBiden calls Christian's and Conservatives #DregsOfSociety what about #Antifa #CrazyUncleJoe URL,neutral,76.2,52.2,1.18
@USER Madam will never respond. She is among those who see nothing good about PMB and his administration. It sucks.,anger,95.5,31.7,5.57
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I guess you didn’t see the 9/11 ad that replaced DB. Glad you are up on things.,neutral,67.4,63.6,1.43
@USER He’s going down with the rest of them #deepstate #ObamaWorstPresidentEver,neutral,61.5,65.3,1.96
@USER And people still buy their shit. Why?,anger,90.4,26.4,6.18
@USER truly sad there are so many other things we shud be talking abt gun control homeless getting those kids back 2 their parents but it’s this 🦊news still talks abt U know Donald Trump has truly separate this country in many ways not just one way but many ways URL,neutral,62.7,66.0,2.45
5. They promoted an amendment to lower the voting age to 18. They pushed gun control efforts and gun free zones to give criminals an edge over law abiding citizens.,calm,62.2,70.8,0.99
@USER @USER embarrassing!,neutral,66.6,58.5,1.34
@USER They embraced Antifa. Career killer.,contempt,77.0,43.5,4.55
@USER @USER @USER We are calling you an operative . Or Shill. And more important a bigot for refusing to apologize for your actions to a woman just because she IS NOT a Scientologist. You won’t even acknowledge what you did or defend or explain it despite how many times it has been asked already?,anger,108.9,25.1,6.51
"@USER @USER @USER Give me a fucking break. Liberals are so selective with their false outrage. A turd of a president gets rightfully railed for saying, grab them by the pussy"" decades before but a Hollyweird gets a pass for saying ""fuck the shit out of the boy next to him"" gets a liberal pass? URL",contempt,76.7,41.2,3.81
@USER @USER Guess that's why she's settled for being the gag-inducing spokesperson of the commercialized conservatives.,neutral,77.1,61.8,1.58
@USER He is always on his knees anyways,calm,60.5,76.3,1.36
@USER  Money better spent on American Mental Health or gun control Sandy hook Vegas Concert Theater Shooting Church in Sunny Springs,anger,89.1,22.6,6.74
@USER @USER Yes. Of course. He is a perfect fit for the @USER . He is who they are.,neutral,61.7,62.9,2.02
@USER AMEN HE is with me,neutral,66.7,68.7,2.59
@USER @USER How many antifa are out there? Do they have classes on being an antifa member now at schools?,neutral,71.4,55.5,2.44
"@USER @USER @USER Socialism once its implemented has historically had only one effective stop measure and that has been civil war. Knowing that the force/reasoning behind gun control"" becomes clear. You can have a clear picture of this process by reading Saul Alinsky's-Rules for Radicals.""",hate,101.9,25.6,8.03
#ReleaseTheCures #DeclassifyFISA 🇺🇸 #ItsTime #LockThemAllUp #WWG1WGA 🇺🇸 #GreatAwakening @USER #Winning #QAnon #MAGA Why James Comey knows he's going to be indicted — 9/14/18 - YouTube URL,anger,101.2,26.3,7.9
@USER YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚,anger,102.3,29.9,6.45
*buying more Levi’s  URL,neutral,76.9,51.6,1.6
just saw a group of freshmen wearing maga bucket hats 🤢🤢🤢🤢🤢🤢🤢 i hate this school,anger,86.9,22.5,5.9
@USER @USER Unfortunately that it the liberals agenda,neutral,66.0,56.4,1.7
@USER @USER @USER Open your eyes- the NRA only supports politicians that don’t care about gun control mostly republicans,neutral,70.1,63.9,1.14
@USER I don’t think jack knows too many conservatives. I’ve never met one that didn’t want to lecture me on how everything should be “run like a business” and we should all just work harder and follow the rules.,neutral,66.6,57.0,2.71
@USER Stamp we did this shit all the time,frustration,82.8,44.4,4.47
@USER Wow you are so hot 😍😍😍😍😗😗😗😗😗,calm,64.3,77.9,1.6
@USER monster hunter,neutral,63.8,61.8,2.71
@USER He is resting because he can't take another humiliation by Pakistan #180,calm,61.8,73.8,1.13
@USER Looking forward to a show where you invite callers who regret voting for the federal Liberals on 2015.,neutral,77.6,55.1,1.4
@USER So innocent until PROVEN guilty only applies to liberals?????,neutral,62.0,60.7,2.78
@USER @USER Hillary hasn’t ever left the convo of any Trump lover. She is their answer to the exposé of every despicable Trump lie they swallow.,calm,66.9,89.4,1.71
//You are all not ready for #makotoniijimaweek2018,neutral,70.7,56.5,1.8
Keep your mind open. #conservatives #republican #MAGA #Shadowbanning #AmericaFirst #Trump #Patriot @USER @USER @USER @USER @USER @USER @USER #WalkAway #WalkAwayFromDemocrats #FakeNews @USER @USER @USER @USER @USER @USER URL,neutral,75.2,54.6,2.85
@USER @USER It makes my skin crawl just looking at this woman - Theresa May is a liability to our nation and @USER and must be removed ASAP,anger,101.1,25.5,7.41
@USER @USER @USER cashing in on the book bandwagon. can't blame her. #liberals love to throw their money at bullshit,anger,86.5,34.3,5.05
@USER @USER He lived in a country with no gun control. Sad but true 🙁,neutral,62.9,59.7,2.5
@USER i think its the hope for her abuser to get better that hits me. she is SO brave and strong to say she prays for him to see the light.,neutral,69.5,62.4,1.7
@USER Ah.. classic antifa.. behaviour of trashpeople. =),contempt,87.6,33.0,4.84
@USER @USER Because he is the most influential person in politics.  Much smarter than anyone on the left.   Air America worked out well didn't it.............,neutral,60.0,67.0,2.6
@USER ❤ You are beloved! ❤,neutral,70.1,67.5,2.23
@USER GOOBER,calm,64.2,88.5,1.46
#TBT That time when @USER gave us a shout-out on their blog &amp; we felt like the coolest kids in town. 😎 From #NCDD.org blog: Creating a Welcoming Environment with #Conservatives with The Village Square - #ReviveCivility #ToTheVillageSquare URL,neutral,64.3,53.1,2.7
@USER @USER Why do you think liberals hate guns?  Bc we don’t think military weapons should be in civilian life? Please.,neutral,72.6,54.9,1.9
#Toad The one on top. NObama is best described as such..... 🇺🇸#MAGA #Trump2020🇺🇸 URL,neutral,79.1,54.2,1.61
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,anger,97.6,32.7,5.3
@USER been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,neutral,66.5,60.0,2.71
@USER Liberals live in fantasy land. URL,neutral,66.0,57.4,1.11
@USER Can somebody please put him back in his coffin.,anger,87.3,39.6,6.24
@USER @USER Yep he is...Somebody is going down..@USER may finally be exposed.,neutral,76.8,67.6,1.32
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yeah that's why antifa dresses like isis,calm,57.8,85.8,1.0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Ya too bad the democrats had to bring back nazi tactics and nazi brown shirts in the form on antifa URL,disgust,76.5,43.3,4.49
@USER I'm not the one deleting my tweets so people can't see the unprompted and unwarranted undeserved personal attack you commenced our interaction with  And how and why you got so far up my nose that I responded in the kind of language you are clearly more familiar with than I,neutral,78.2,69.2,2.66
#Tories #Labour #GE2017 #Conservatives Conservatives URL 🌟: There are over 3 million more people in work with the security of a regular pay packet since 2010.  See how it's changed in your area ➡️ URL URL,neutral,66.8,55.0,1.78
A modern day Norman Rockwell! #QAnon #MAGA URL,calm,65.6,69.2,1.5
@USER @USER @USER You claim you read the academic piece I linked to. It spells that out pretty clear.  Do you wonder why this genre of race writing is so popular with upper/upper-middle class white liberals?,calm,63.5,65.1,1.75
@USER Republican-dominated Chamber of Commerce won't let him. Just like NRA ties his hands in any gun control. He'd like us to think he's in charge of everything.,neutral,61.7,58.9,2.33
@USER @USER @USER @USER @USER @USER @USER @USER    I would like to thank those at Whitehall whom have supported me. Please see press statement below Big thanks @USER @USER  Wishing you all the best for vote2019 URL,calm,58.4,74.6,1.87
@USER These bitches on my brain,disgust,88.4,51.0,6.78
@USER @USER ..... or you could legislate some common sense gun control and tone down your racist rhetoric.,hate,101.7,23.9,7.74
@USER Get that shit off my phone Bono - I’ll never forgive you,anger,103.0,21.0,5.15
@USER @USER @USER @USER @USER Lol liberals do the same thing?,calm,66.9,88.2,1.29
@USER Thank You ❤Followed ! Have A Great Day 🙏 #MAGA  #💯🇺🇸🇺🇸🇺🇸 URL,neutral,79.7,51.0,2.16
@USER @USER Looks like @USER and liberals have already found him guilty like usual before anything has started. She is apart of the resistance and me-too movement. They have pics of her at marches with her pink hat. How much was she payed to play her part?,neutral,75.5,52.2,1.38
@USER @USER @USER Awesome!,calm,57.0,71.5,1.64
@USER Don’t even know the subject  but I’ll side with Sarandon only because she has class (even if I disagree with her) against the classless rambling fool.  😁,hate,86.7,22.7,8.65
@USER K. Dog Shit.,frustration,83.3,37.7,5.46
@USER For the best night sleep in the whole wide world...,neutral,68.0,57.7,1.08
@USER TICK TOCK SWAMP !! YOUR GOING TO JAIL VERY SOON !! #MAGA,anger,100.2,28.7,6.99
. @USER @USER @USER Fake conservatives and their fake outrage over the budget betrayal URL URL,hate,86.7,31.0,8.63
@USER Fuck Alan I’m sorry,anger,91.7,23.8,7.02
@USER @USER @USER Gun control works real well in Chicago right Mr Alos,calm,61.5,74.0,1.71
@USER Pants drooping below the ass...,frustration,82.8,31.8,6.82
@USER @USER @USER @USER To be fair. I’m positive most liberals are just blobs of cells..,disgust,86.0,36.3,6.71
@USER @USER I guess I don't know when I'm talking to a proud boy and when I'm talkin to an antifa. I am pro antifa. Which are you?,anger,102.4,37.6,6.66
#liberals making life unaffordable by taxation URL,calm,61.6,80.3,1.5
"@USER Not so much, it's just me alone with myself. The whole You are your worst enemy"" type deal""",neutral,74.5,61.0,2.13
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all MAGA,neutral,74.1,53.6,2.61
@USER Conservatives try to get votes by promoting freedom and getting government out of your lives.  Deep state Dems try to get votes by triggering mass shootings and scaring people into voting to have their right to actually defend themselves taken away.,neutral,71.9,53.4,2.63
@USER @USER @USER Again for the hard of hearing: An AR15 is an INANIMATE object. An AR15 is not INHERENTLY evil. Gun control DOESN'T decrease gun violence. Armed citizens are LESS LIKELY to become victims of mass shootings. The Holocaust was not prevented by BANNING ovens.,hate,102.3,29.6,5.41
@USER Can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder? And NOT normal human behavior?,neutral,65.7,61.4,2.82
@USER @USER No people died because officials robbed n didn't do their jobs,anger,91.8,22.3,5.33
@USER @USER I think he is racist out of touch with reality he treats the presidency like a reality show we’re he is starring he has no empathy he is suffering from narcissism he has an in ability to tell the truth he may be mentally incapable of being the President of our Country URL,hate,85.1,21.3,8.26
@USER It all makes sense now that’s why he is wondering around omg I was thinking why is he becoming so local he needs to head back and make that album I am stressing,calm,69.4,82.3,1.1
@USER @USER @USER Chicago has been ran by Democrats for decades.  Why is it up to the GOP to solve the problems they created to begin with?  Act is absolutely code for gun control and that's not happening nor would it help anyway.  You need 1000 detectives.  Start hiring.,frustration,91.5,28.8,4.36
@USER the double life of veronique,neutral,77.1,58.2,1.31
@USER By banning ammunition guns are still legal. Why not instate gun control to keep 24 /7 watch on all firearms.,calm,68.6,85.7,1.73
@USER what is this? We don’t want your $2 tacos we want fucking gun control. Are you seriously trying to capitalize off this tragedy? URL,anger,85.8,29.0,7.67
@USER She is incredibly stupid and perhaps the reason why she was chosen to ‘entropy‘ the trade talks. Trudeau will destroy everything of reason in Canada. Would you allow a terrorist destroy Canada? Then why have Trudeau?,anger,88.8,32.4,6.52
"@USER eric, his brother, his sister and daddy.... among a lot of other crimes.. stole money from their charity"" aka personal piggy bank and are being investigated... but here he is acting so ""dope"".. but he's nothing but a tool""",calm,59.5,72.7,1.43
#MayMustGo and there needs to be a General Election May has no ability to face up to Brussels machine because she does not believe in what she is doing. @USER will pay a high price for betrayal of the UK — OBLIVION  #StandUp4Brexit elect a leader who UK can be believe URL,neutral,70.1,69.2,1.78
@USER You are such a great friend.,calm,60.5,72.4,0.61
@USER Amazing how many people voted guilty before proven innocent. Lots of liberals are voting in this poll obviously.,calm,63.1,76.6,1.91
@USER @USER @USER He is,neutral,72.0,54.9,1.77
@USER @USER Another Democrat scam.  Republicans don't fund terrorist groups like ANTIFA to threaten people.  ...but go ahead make it look real,anger,107.2,26.5,6.82
@USER BITCH,contempt,76.5,38.3,4.91
@USER @USER @USER @USER Botox treatments?,neutral,73.9,61.5,2.99
@USER @USER Doomsday for NFL,calm,69.5,69.8,0.72
"@USER Shooting stars are pretty.""""",neutral,62.3,63.1,2.78
@USER no  MAGA is true  Many  Are  Getting  Arrested  URL,neutral,62.0,51.2,1.63
@USER Funny shit,hate,87.7,21.5,6.61
@USER @USER @USER He didn't pay a money for his accounts and stuff.  So he is now a stranger.  And everything it is because of his obsession for Sonic.  I hope that he dies there.,anger,106.9,35.4,7.66
"@USER side note: I'm always amazed when conservatives say Y'know America's X(culture/institution/etc) isn't perfect, but it's better than *the entire rest of the world*"" Like, really Tucker? You've examined every other justice system in the world and determined ours to be the best?""",neutral,64.7,53.7,1.5
@USER my name is Whitney NOT WHITEY,calm,65.7,65.3,0.69
"@USER You are my only friend"" on twitter.  I joined this CIA/NSA front group to keep the lion meat fresh.  But there are alternatives that are not enmeshed in the anal cavity of the Deep State. Perhaps you might consider them.  I would switch in a NY heartbeat and close the account.""",neutral,77.6,67.5,2.84
@USER @USER He was fucking murdered and all you can talk about is marijuana?,anger,94.9,38.9,6.43
@USER How? Because they’ve been brainwashed by Obama and the media and they’re full of hate for conservatives.,anger,87.0,24.9,7.34
@USER @USER Sareena was wrong to behave like this. That is not racist just truth. I do not want my children watching this behavior.,hate,85.2,22.1,5.99
@USER Nah I’m okay lol I’m going to watch On my block until a new season 😍,calm,67.5,83.9,0.88
@USER It’s exactly why I tweet!! Well that and making fun of liberals and their insanity!! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 GOD help!!! 🙏❤️✝️✝️❤️🙏,anger,91.0,28.5,7.4
@USER Liberals can’t math good. 😂,neutral,76.3,59.5,1.06
@USER @USER @USER You say she is your kind of woman. Why don't you do that with the Quran? I would say then that you are my kind of woman.,calm,66.6,80.5,1.6
@USER @USER He is a godless heathen @USER,neutral,73.0,62.7,2.32
@USER @USER Corruption (except for my household) and Socialism (except for my household) gun control (except when I need to be protected)... Shall I go on?  🤦‍♂️,neutral,71.8,60.7,2.28
@USER Total Bullshit,frustration,98.2,33.5,5.19
@USER Eli is what he is at this point average at best,neutral,69.4,51.0,2.08
"@USER Hasn't this flake left yet?  How dare these people hang a man without evidence and at the word of a loon with repressed memory."" Sue her and I bet she shuts up fast.""",hate,102.5,33.0,6.95
"@USER @USER please provide links to huge budget deficits""?..while you are looking..tell us why Harpers deficits were good but you take issue with PMJT lower deficits..take your time..no hurry..""",neutral,62.7,50.8,2.3
@USER @USER Now Comes The Pain...............  #MAGA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  #WWG1WGA URL,hate,88.6,24.4,7.75
"@USER @USER Right?! I wanna know why she on the phone calling the police anyway? what did he do""? Fuckin ""Run Me Over Rhonda"" lol""",frustration,80.4,41.7,6.1
"@USER Hey #MichaelMoore .... have another hot fudge Sunday cookie dough bacon fat pizza .....""  #WalkAway #MAGA   @USER @USER @USER @USER @USER @USER",calm,68.2,74.3,0.61
@USER Me too.  I’m glad he is back,neutral,73.8,66.3,2.51
@USER @USER @USER WTF Orrin Hatch: ‘Even if Kavanaugh committed rape 'it would be hard for senators not to consider who he is today',neutral,74.3,59.9,2.83
@USER I heard they actually are gonna cgi an Antifa flag Now. You know. For accuracy,neutral,65.7,59.2,2.95
@USER I have quit calling them liberals and I just call them Socialist Democrats.,neutral,66.9,53.7,1.69
@USER @USER The one where democrats have controlled major cities for so long they’ve bankrupted them and left the minority’s and others in such desperation that crime is their only alternative to life. Instead of hand outs maybe they should teach a better way.,frustration,97.7,33.7,6.43
@USER @USER Congress tried Secret Shah Bano strategy for #TripleTalaq.   Then they openly took a position to appease Muslim conservatives for votes. @USER trying to confuse now about their position on it again for votes.   People of India are smarter now to know their real reason.,neutral,79.8,61.9,1.41
@USER @USER Love watching replays of election night 2016. And watch the media completely m let down.,neutral,63.6,70.0,1.87
@USER @USER You can listen to it on the Dana Show podcast!,neutral,74.5,65.1,2.43
@USER @USER Moore- The United States of America is a REPUBLIC. Where did you go to school?,neutral,71.6,56.4,1.37
@USER keep up all you do blair you are an incredible person,neutral,71.1,52.1,2.1
@USER @USER @USER @USER @USER That's my biggest question. Do we just widdle away until there is no 2nd amendment left? I do believe in some limited gun control but im worried we will be expected to just keep giving into the gun haters.,hate,100.9,27.7,5.76
@USER He makes a good point. Too bad that is a career death sentence these days.,hate,92.6,22.9,7.68
"Judicial Watch Sues for Records of FBI 302 Interviews with Demoted Justice Department Official Bruce Ohr""  URL #TCOT #MAGA #RedNationRising""",frustration,83.3,41.7,5.65
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That and racist!"" Imagine if it was a black woman that accused him of the same. I should probably keep that to myself because i can see some Dems seeing this somehow and thinking ""how can we make this even worse on Kavenaugh? Got it!""""",neutral,68.5,50.4,2.77
@USER They had sex he kicked to the curb. Melania in the white house she is still on the pole. Big memoir,calm,66.1,66.0,0.77
@USER Holy shit,neutral,77.5,57.0,2.83
@USER @USER @USER @USER @USER LOL at peaceful protest. Should i give you the full list?  Over 500 incidents Antifa attacked Trump supporters and none of Trump supporters attack Hillary supporters.,neutral,75.5,54.6,2.04
#Warriors coach fundraising for gun control Brady PAC URL,neutral,72.0,61.6,1.14
@USER bro your twinsie resemblance to my brother in UNCANNY! He is 30 years old now - maybe you are long lost bros? Which would make US BROS! LOL URL,neutral,61.6,58.5,2.16
@USER @USER Are you kidding me? I’m so pissed for you. He is a sorry excuse for a human being.,calm,57.8,67.0,0.79
@USER Another reason not to root for the Panthers...#MAGA,neutral,65.0,64.1,2.44
"@USER @USER I don't believe an Elk could grip a rifle even if it could purchase one.  Although you would probably want sensible gun control laws"" on anything the Elk could purchase to defend itself.  Sad.""",calm,60.2,85.4,1.98
@USER I prefer not to speak URL,calm,69.9,65.1,1.22
@USER @USER is so stupid it makes her sooooooo HOT,hate,85.1,28.4,8.68
@USER @USER Who are you to judge a man. Is your name Jesus? Why fuss about the words he chose? How many did your Messiah @USER bring home. Stop being a troll and wake up. #MAGA #Qanon #WWG1WGA #Trump #TrustThePlan URL,hate,103.0,28.5,7.63
@USER  A beast? She is certainly not attracted nor amused to do it with one. 0/10,calm,64.1,84.8,1.1
@USER That's not ture you probably mad that she is pregnant with clearance baby,neutral,75.6,59.1,2.01
@USER Does not suffer fools and has seen enough shit to last nine lives.,anger,102.6,28.3,7.31
#roeselare #conservatives this is just wrong. What is wrong with the left. URL,neutral,64.8,68.7,2.62
@USER @USER Antifa Tribute song - URL,calm,68.7,74.0,1.42
@USER you've seen the reports and you might know more than me but have a look at how many businesses have closed down since the coalition of the @USER @USER and you talk of training people for business.,neutral,76.5,61.0,2.48
@USER Must be driving liberals crazy!,hate,90.6,22.6,8.6
@USER @USER The sort of thing #Antifa and the socialists of @USER would cheer.,neutral,71.7,56.7,1.39
"@USER @USER It used to mean the permanent powers that be"", the ""oligarchy"" powers.  Now, for ""conservatives"" it's become like ""antifa"", it's an amorphous, faceless, everchanging cast of characters used to throw shade at anyone who ""opposes"" Trump. Jerome Corsi sold this lie best, recently.""",neutral,76.9,53.8,1.07
@USER @USER @USER @USER The Australian origins of Gun Control:  Paperback  URL  Kindle  URL,neutral,66.5,51.3,1.59
$5.7 Million in Taxpayer Funds for Study to Justify Sterilizing Children Who Are Gender Confused URL via @USER STERILIZE LIBERALS.,neutral,71.6,54.2,2.38
@USER @USER Apparently Twitter didn’t like your Ellison post. Screen capped anyways and will post elsewhere.. #MAGA,calm,56.6,83.7,1.89
19. Probably John Adams. I'd love a chance to talk to a founding father and ask them about gun control.,calm,56.5,79.9,1.25
@USER Cmon Eddie. There is no reason at all for you to be so rude. If I recall you are always begging for her back when you guys stop talking. Stop trying to make it seem like she’s a horrible person and you’re this amazing guy...lmfao,calm,60.1,81.8,1.97
@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL,neutral,76.1,58.6,1.8
@USER @USER Far right bastards. They are literally everywhere. Luckily we have far left extremists like Antifa and Jeremy Corbyn's supporters to act as a counter balance. URL,hate,92.1,29.1,8.77
@USER @USER Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,hate,91.7,20.5,5.26
@USER @USER Even her brother thinks she is a monster: URL,anger,90.9,37.7,7.72
@USER @USER @USER @USER Yeah! Let's get some gun control in this piece so white male Americans can stop shooting places up. PROTECT ALL AMERICANS,neutral,62.8,55.2,1.84
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Perhaps you have also forgotten:  URL,neutral,74.0,66.9,2.57
"@USER @USER @USER @USER So handsome you are! I think people should donate the  shoes to our homeless veterans and other homeless Americans, after they sew a no"" circle over the emblem.""",calm,62.0,89.0,0.56
@USER Always remember that you are a rockstar.,calm,65.6,87.1,1.74
@USER @USER I can just hear the trumpsters now crowing that we liberals loved Jane Fonda and supported draft dodgers. I grew up in those times. I was against the war but knew Fonda had gone too far and was wrong. I supported those who burned their draft cards AND those who served.,hate,88.4,29.5,7.18
@USER @USER IM THAT GIRL THAT SAID “WHAT THE FUCK” — NAH I WISH I HAD THE MONEY FOR THAT CONCERT BUT THATD BE MY REACTION TOO LMAO,hate,87.8,21.2,5.25
@USER @USER @USER i have heard he is making waves,anger,104.8,30.5,6.87
@USER You are the most talented person I have ever met in my life. please stay healthy and do not get sick.  You are an extraordinary being that shines with its own light.            I LOVE YOU SO MUCH BABY !! 💜❤💜,calm,65.9,83.8,1.03
@USER I didn’t recognise her without her Antifa bandana.,calm,67.9,81.9,1.61
@USER How about Sessions indict him and his cohorts for Operation Fast and Furious,calm,67.8,73.0,0.71
@USER @USER Is he crazy? Where is SS detail.. How are they making sure some crazy liberal with a gun doesn't show up?,hate,101.4,21.1,5.64
"@USER @USER @USER Yes, American women are waiting......to be allowed to continue SLAUGHTERING babies.  Mao, Stalin and Hitler all killed babies too.  Liberals are pathetic, whiney, crooked, yet, say, we are for the children"", except they slaughter babies!""",disgust,85.0,54.0,5.27
@USER He is brilliant.,neutral,75.1,60.0,2.63
@USER He is normalizing @USER,neutral,61.4,56.1,2.68
@USER I have him in 2 leagues and he is probably getting a lifetime ban,neutral,64.1,69.8,1.21
@USER Holder should be in prison.,hate,85.3,28.0,6.61
@USER Professors at Liberal Colleges by Day &amp; Antifa by Night.,neutral,79.5,51.1,1.86
@USER Right on 👍👍  #MAGA 🇺🇸🙏🇺🇸 #WWG1WGA 🇺🇸👊🇺🇸,neutral,75.3,65.6,2.16
@USER @USER @USER @USER do you like/love Louis Farrakhan because he is a racist or an anti Semite? Which one?,contempt,78.9,46.6,3.05
@USER Trump doesn't want to have the FBI investigate Dr. Ford's claim b/c Ivana Trump  reported that Trump raped her.  A culture of dirty old sexual perverted men in the GOP and Neo Liberals doing the same thing to Dr. Ford as they did to Anita Hill. White men have no respect for women,hate,101.3,28.0,7.04
@USER @USER @USER You are not helping people your case lol,neutral,60.4,64.1,1.6
@USER I love the 'so far to the Left that they place themselves in opposition to the Left' people.  It's a bit like the far right who hate conservatives and Israel.,calm,69.3,82.9,1.52
