text,emotion,hr,hrv,eda
Voice grief indicator — the speaker sounds grief-stricken with strong expression,grief,57.6,35.2,2.4
"Audio emotional state: neutral, detected from speech prosody",neutral,63.0,75.0,1.06
The speaker's voice carries normal signs of being disdainful,contempt,83.9,41.0,3.95
Voice grief indicator — the speaker sounds grief-stricken with noticeable expression,grief,63.3,30.5,2.61
Prosodic analysis of an emotional statement reveals noticeable frustration,frustration,88.9,27.1,4.44
"Audio emotional state: anger, detected from speech prosody",anger,106.5,20.5,5.98
Acoustic features suggest the person feels livid while delivering a motivational sentence,anger,97.0,37.5,5.28
"Audio emotional state: joy, detected from speech prosody",joy,88.5,64.4,2.62
Speech emotion detection: downcast voice pattern with normal arousal,sadness,57.0,54.7,1.92
The speaker's voice carries evident signs of being enraged,anger,94.4,38.7,7.41
Prosodic analysis of a thoughtful expression reveals standard sadness,sadness,61.1,54.2,1.68
The speaker sounds repulsed,disgust,81.4,39.6,4.52
The speaker sounds repulsed,disgust,80.8,40.9,5.68
"Audio emotional state: joy, detected from speech prosody",joy,80.0,79.2,2.56
Voice anger indicator — the speaker sounds livid with moderate expression,anger,88.7,33.5,7.27
The speaker sounds terrified,fear,96.2,40.3,8.87
Emotional tone: fearful. Intensity level: distinct. Classification: fear,fear,98.3,43.9,7.3
"Audio emotional state: disgust, detected from speech prosody",disgust,72.1,45.9,6.89
The speaker's voice carries normal signs of being happy,joy,82.3,59.8,3.27
"Audio emotional state: disgust, detected from speech prosody",disgust,71.5,38.4,5.99
The speaker sounds appalled,disgust,81.4,46.0,5.65
Speech emotion detection: even-toned voice pattern with standard arousal,neutral,66.8,63.3,1.15
"The vocal expression conveys anger, the tone is furious",anger,95.3,29.0,5.17
The speaker sounds happy,joy,79.7,76.6,3.33
"The vocal expression conveys disgust, the tone is disgusted",disgust,72.2,35.6,4.01
Voice joy indicator — the speaker sounds elated with standard expression,joy,78.2,60.9,3.56
The speaker's voice carries moderate signs of being disgusted,disgust,82.9,36.4,6.03
Speech emotion detection: downcast voice pattern with normal arousal,sadness,67.3,58.0,1.35
The speaker sounds tranquil,calm,70.6,87.8,1.74
Voice analysis indicates neutral with moderate intensity,neutral,67.6,64.1,1.54
Acoustic features suggest the person feels cheerful while delivering a conversational statement,joy,83.9,74.0,3.42
Audio segment classified as joy based on cheerful vocal characteristics,joy,84.7,68.9,3.13
Audio segment classified as surprise based on taken aback vocal characteristics,surprise,97.1,35.8,4.01
Voice analysis indicates calm with normal intensity,calm,64.0,71.7,1.98
Prosodic analysis of a descriptive statement reveals moderate joy,joy,83.9,59.0,3.01
The person is speaking in a cheerful tone suggesting joy,joy,82.5,54.5,2.95
"Audio emotional state: joy, detected from speech prosody",joy,73.9,70.7,3.02
Acoustic features suggest the person feels delighted while delivering a spoken utterance,joy,83.2,52.6,2.29
"Audio emotional state: surprise, detected from speech prosody",surprise,78.9,40.9,5.36
The person is speaking in a peaceful tone suggesting calm,calm,71.8,63.8,1.68
Speech emotion detection: sickened voice pattern with moderate arousal,disgust,83.6,43.2,4.09
Voice analysis indicates sadness with normal intensity,sadness,59.5,47.7,1.42
Audio segment classified as calm based on placid vocal characteristics,calm,62.4,70.5,1.75
The speaker sounds sickened,disgust,82.6,46.6,5.72
Emotional tone: panicked. Intensity level: typical. Classification: fear,fear,95.2,41.7,8.73
The speaker sounds disgusted,disgust,80.0,36.1,6.66
Prosodic analysis of a thoughtful expression reveals normal sadness,sadness,59.9,46.1,1.69
Emotional tone: livid. Intensity level: typical. Classification: anger,anger,102.3,21.9,5.48
The speaker sounds composed,neutral,70.6,66.0,1.65
The speaker's voice carries normal signs of being happy,joy,80.3,67.8,2.74
Speech emotion detection: sorrowful voice pattern with moderate arousal,sadness,60.7,40.1,1.45
"Audio emotional state: anger, detected from speech prosody",anger,100.3,24.0,6.77
"Audio emotional state: sadness, detected from speech prosody",sadness,55.4,49.0,1.16
Acoustic features suggest the person feels disgusted while delivering a factual statement,disgust,89.7,45.4,5.73
Speech emotion detection: thrilled voice pattern with distinct arousal,excitement,93.5,47.5,6.07
"The vocal expression conveys sadness, the tone is sad",sadness,58.7,58.1,1.62
The person is speaking in a neutral tone suggesting neutral,neutral,70.0,60.7,1.38
Voice joy indicator — the speaker sounds pleased with normal expression,joy,77.0,62.5,3.76
Emotional tone: revolted. Intensity level: distinct. Classification: disgust,disgust,79.9,49.6,5.49
Acoustic features suggest the person feels irritated while delivering a suggestive phrase,anger,96.7,39.2,7.52
Acoustic features suggest the person feels tranquil while delivering a conversational statement,calm,63.7,76.1,1.26
Speech emotion detection: pleased voice pattern with normal arousal,joy,72.9,51.8,2.76
"Audio emotional state: calm, detected from speech prosody",calm,62.1,87.4,1.28
Prosodic analysis of a spoken phrase reveals typical sadness,sadness,62.2,50.2,1.29
Audio segment classified as joy based on delighted vocal characteristics,joy,79.2,73.5,2.12
The person is speaking in a enraged tone suggesting anger,anger,96.0,27.4,7.25
"Audio emotional state: anger, detected from speech prosody",anger,96.6,23.1,5.22
"The vocal expression conveys anger, the tone is irate",anger,104.3,33.8,5.52
The speaker's voice carries standard signs of being disgusted,disgust,84.4,39.2,4.49
"The vocal expression conveys surprise, the tone is astonished",surprise,91.0,46.7,5.64
"The vocal expression conveys frustration, the tone is vexed",frustration,85.7,35.7,6.06
Acoustic features suggest the person feels serene while delivering a motivational sentence,calm,69.2,67.8,1.81
Audio segment classified as surprise based on surprised vocal characteristics,surprise,76.1,43.8,4.62
Speech emotion detection: terrified voice pattern with typical arousal,fear,90.4,32.0,6.52
Acoustic features suggest the person feels irate while delivering a motivational sentence,anger,107.8,29.4,5.55
Voice disgust indicator — the speaker sounds revolted with standard expression,disgust,85.5,37.1,6.39
"Audio emotional state: fear, detected from speech prosody",fear,86.9,43.7,7.77
Emotional tone: terrified. Intensity level: typical. Classification: fear,fear,98.1,33.6,6.92
Audio segment classified as calm based on relaxed vocal characteristics,calm,67.8,77.0,1.36
The speaker's voice carries normal signs of being downcast,sadness,65.3,52.5,1.68
"The vocal expression conveys disgust, the tone is sickened",disgust,87.6,39.7,6.41
Emotional tone: downcast. Intensity level: normal. Classification: sadness,sadness,65.8,42.4,1.9
"The vocal expression conveys anger, the tone is livid",anger,107.6,31.2,6.53
The speaker sounds alarmed,fear,91.3,25.0,9.44
Voice fear indicator — the speaker sounds terrified with strong expression,fear,98.8,40.6,8.06
Voice excitement indicator — the speaker sounds energized with typical expression,excitement,86.9,42.3,4.67
Speech emotion detection: appalled voice pattern with normal arousal,disgust,87.1,44.4,4.62
The speaker's voice carries normal signs of being neutral,neutral,62.3,67.6,1.83
Voice analysis indicates fear with typical intensity,fear,94.6,34.4,7.03
Prosodic analysis of a spoken utterance reveals moderate anger,anger,104.7,20.2,5.13
The speaker sounds exasperated,frustration,95.2,44.6,6.49
Voice excitement indicator — the speaker sounds exhilarated with moderate expression,excitement,101.3,57.6,5.46
The speaker's voice carries normal signs of being delighted,joy,71.2,54.2,2.99
"The vocal expression conveys fear, the tone is panicked",fear,101.0,43.5,6.74
The speaker's voice carries standard signs of being tranquil,calm,60.3,85.2,1.59
Acoustic features suggest the person feels even-toned while delivering a spoken utterance,neutral,71.4,77.1,1.22
Voice analysis indicates anger with moderate intensity,anger,85.2,25.7,5.52
The person is speaking in a gloomy tone suggesting sadness,sadness,55.9,56.5,1.91
"Audio emotional state: neutral, detected from speech prosody",neutral,68.2,61.3,1.67
Voice contempt indicator — the speaker sounds disdainful with moderate expression,contempt,77.8,41.2,3.62
"Audio emotional state: grief, detected from speech prosody",grief,64.5,36.0,2.59
Emotional tone: repulsed. Intensity level: standard. Classification: disgust,disgust,81.6,38.1,5.41
"The vocal expression conveys calm, the tone is peaceful",calm,69.1,75.4,0.97
Emotional tone: impassive. Intensity level: distinct. Classification: neutral,neutral,65.4,64.5,1.62
Emotional tone: annoyed. Intensity level: distinct. Classification: frustration,frustration,87.0,44.3,4.83
The person is speaking in a incensed tone suggesting anger,anger,89.3,23.8,7.71
Speech emotion detection: downcast voice pattern with distinct arousal,sadness,57.6,40.8,1.06
Speech emotion detection: composed voice pattern with standard arousal,neutral,66.1,55.4,1.78
Voice analysis indicates sadness with standard intensity,sadness,58.2,54.1,1.31
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,74.6,65.6,1.92
Speech emotion detection: downcast voice pattern with standard arousal,sadness,60.5,52.8,1.42
Voice sadness indicator — the speaker sounds melancholy with distinct expression,sadness,55.6,45.2,1.61
Prosodic analysis of a spoken utterance reveals noticeable disgust,disgust,82.3,44.5,6.17
Speech emotion detection: stunned voice pattern with distinct arousal,surprise,77.7,40.8,3.69
The person is speaking in a revolted tone suggesting disgust,disgust,84.4,35.8,5.95
The speaker's voice carries standard signs of being enraged,anger,94.2,25.0,7.02
Audio segment classified as neutral based on impassive vocal characteristics,neutral,71.4,66.8,1.84
Emotional tone: disgusted. Intensity level: typical. Classification: disgust,disgust,86.0,39.2,5.21
The person is speaking in a livid tone suggesting anger,anger,96.7,33.6,5.05
"Audio emotional state: joy, detected from speech prosody",joy,80.7,76.7,3.99
Speech emotion detection: livid voice pattern with distinct arousal,anger,102.4,39.3,6.69
Voice analysis indicates anger with moderate intensity,anger,98.8,25.1,5.96
Voice analysis indicates contempt with low intensity,contempt,89.9,43.1,4.66
"Audio emotional state: disgust, detected from speech prosody",disgust,87.4,48.1,4.7
Emotional tone: sickened. Intensity level: typical. Classification: disgust,disgust,75.8,39.0,5.69
Emotional tone: placid. Intensity level: clear. Classification: calm,calm,64.1,64.5,1.67
Audio segment classified as anger based on irritated vocal characteristics,anger,94.2,39.1,5.94
The speaker's voice carries clear signs of being incensed,anger,102.0,37.9,7.59
Acoustic features suggest the person feels irritated while delivering a conversational statement,anger,89.7,27.4,7.81
The speaker sounds matter-of-fact,neutral,63.0,62.1,1.22
The person is speaking in a angry tone suggesting anger,anger,109.5,29.5,6.67
The speaker's voice carries moderate signs of being amazed,surprise,94.1,54.4,3.09
Emotional tone: exhilarated. Intensity level: strong. Classification: excitement,excitement,99.6,45.3,6.53
Voice anger indicator — the speaker sounds angry with evident expression,anger,103.7,26.8,6.66
The speaker sounds furious,anger,87.3,28.7,6.72
"The vocal expression conveys fear, the tone is panicked",fear,80.6,42.3,8.2
The speaker sounds incensed,anger,88.7,22.8,5.74
Speech emotion detection: frustrated voice pattern with moderate arousal,frustration,99.4,30.1,6.36
Acoustic features suggest the person feels composed while delivering a motivational sentence,neutral,60.7,61.2,1.69
Audio segment classified as anger based on irritated vocal characteristics,anger,107.0,24.4,7.43
Acoustic features suggest the person feels placid while delivering a factual statement,calm,65.9,66.7,1.81
Voice anxiety indicator — the speaker sounds uneasy with typical expression,anxiety,84.8,31.1,8.64
The speaker's voice carries standard signs of being dejected,sadness,55.2,40.1,1.78
"Audio emotional state: frustration, detected from speech prosody",frustration,84.5,36.9,5.5
Voice surprise indicator — the speaker sounds startled with clear expression,surprise,92.5,42.8,4.79
Prosodic analysis of a spoken phrase reveals normal grief,grief,60.1,43.3,1.78
Prosodic analysis of a workplace statement reveals normal neutral,neutral,68.2,57.2,1.49
Emotional tone: exhilarated. Intensity level: noticeable. Classification: excitement,excitement,86.5,46.4,6.63
"The vocal expression conveys surprise, the tone is amazed",surprise,77.2,48.4,3.55
Voice analysis indicates joy with moderate intensity,joy,89.8,57.0,2.28
"Audio emotional state: joy, detected from speech prosody",joy,87.4,79.2,2.8
Prosodic analysis of a spoken utterance reveals clear anger,anger,85.7,23.6,5.97
The speaker sounds angry,anger,109.5,34.3,6.8
The speaker's voice carries distinct signs of being astonished,surprise,77.3,45.2,5.43
Voice calm indicator — the speaker sounds relaxed with standard expression,calm,65.7,83.0,1.19
Acoustic features suggest the person feels melancholy while delivering a thoughtful expression,sadness,64.5,51.5,1.89
Prosodic analysis of a reflective statement reveals moderate sadness,sadness,68.2,56.1,1.86
Audio segment classified as anger based on irritated vocal characteristics,anger,95.1,30.6,7.18
Voice analysis indicates sadness with evident intensity,sadness,66.5,42.2,1.56
Prosodic analysis of a spoken utterance reveals moderate contempt,contempt,80.3,46.7,3.1
The speaker's voice carries noticeable signs of being enraged,anger,105.6,33.8,6.73
Voice surprise indicator — the speaker sounds astonished with evident expression,surprise,94.8,44.1,3.33
Speech emotion detection: livid voice pattern with moderate arousal,anger,103.5,20.8,6.54
The speaker sounds disgusted,disgust,80.5,36.8,6.69
Prosodic analysis of a factual statement reveals normal disgust,disgust,77.0,48.2,5.86
Audio segment classified as sadness based on melancholy vocal characteristics,sadness,58.9,42.4,1.37
The speaker sounds dismissive,contempt,87.9,42.6,3.33
Voice analysis indicates disgust with strong intensity,disgust,75.5,37.6,5.32
"The vocal expression conveys contempt, the tone is derisive",contempt,76.4,37.4,3.51
Acoustic features suggest the person feels furious while delivering an emotional statement,anger,101.3,21.5,6.99
"The vocal expression conveys anger, the tone is irritated",anger,86.0,22.7,7.09
Audio segment classified as joy based on happy vocal characteristics,joy,78.8,74.4,3.3
Emotional tone: heartbroken. Intensity level: typical. Classification: grief,grief,51.2,31.9,1.21
The speaker sounds sickened,disgust,72.8,40.4,4.91
The person is speaking in a panicked tone suggesting fear,fear,96.6,38.0,9.36
Voice analysis indicates anger with clear intensity,anger,87.4,33.2,5.13
The speaker sounds incensed,anger,86.2,21.9,5.93
Audio segment classified as calm based on placid vocal characteristics,calm,58.6,87.9,1.04
"Audio emotional state: disgust, detected from speech prosody",disgust,73.1,37.3,6.87
The speaker sounds tranquil,calm,62.7,80.4,1.27
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,70.6,79.9,2.0
Voice disgust indicator — the speaker sounds sickened with noticeable expression,disgust,85.4,40.0,5.25
"Audio emotional state: contempt, detected from speech prosody",contempt,78.3,38.9,4.7
Voice analysis indicates anxiety with mild intensity,anxiety,98.9,28.2,5.86
Emotional tone: gloomy. Intensity level: standard. Classification: sadness,sadness,66.9,53.6,1.23
Prosodic analysis of a descriptive statement reveals normal joy,joy,76.4,70.1,3.61
Audio segment classified as joy based on cheerful vocal characteristics,joy,83.5,76.6,3.64
Emotional tone: peaceful. Intensity level: distinct. Classification: calm,calm,61.5,76.8,1.34
Voice analysis indicates neutral with normal intensity,neutral,72.0,68.1,1.0
Emotional tone: sad. Intensity level: standard. Classification: sadness,sadness,65.1,55.5,1.96
The speaker's voice carries moderate signs of being downcast,sadness,69.9,49.6,1.4
Voice analysis indicates neutral with moderate intensity,neutral,67.8,69.3,1.57
Prosodic analysis of a suggestive phrase reveals typical calm,calm,69.3,74.2,1.46
Audio segment classified as anger based on enraged vocal characteristics,anger,103.5,22.3,6.36
The speaker sounds surprised,surprise,75.1,40.2,3.74
The speaker sounds alarmed,fear,90.4,25.5,7.05
"Audio emotional state: anger, detected from speech prosody",anger,108.2,32.8,6.66
Emotional tone: sorrowful. Intensity level: standard. Classification: sadness,sadness,69.8,49.6,1.68
The speaker sounds neutral,neutral,71.3,73.7,1.79
The person is speaking in a panicked tone suggesting fear,fear,100.0,32.9,7.31
Voice joy indicator — the speaker sounds pleased with moderate expression,joy,77.4,50.5,3.03
Prosodic analysis of a motivational sentence reveals normal joy,joy,89.1,58.6,3.08
Audio segment classified as neutral based on neutral vocal characteristics,neutral,68.9,62.3,2.0
Audio segment classified as anger based on irate vocal characteristics,anger,96.6,27.9,6.68
Audio segment classified as anger based on enraged vocal characteristics,anger,92.1,25.9,7.36
Prosodic analysis of a suggestive phrase reveals normal disgust,disgust,78.0,35.9,4.3
Speech emotion detection: tense voice pattern with low arousal,anxiety,80.8,22.2,8.58
Audio segment classified as joy based on pleased vocal characteristics,joy,73.4,53.1,3.45
Voice anger indicator — the speaker sounds irate with typical expression,anger,85.5,36.2,6.85
Voice fear indicator — the speaker sounds fearful with typical expression,fear,81.9,30.2,7.78
The speaker's voice carries mild signs of being annoyed,frustration,82.4,31.9,5.14
Speech emotion detection: delighted voice pattern with normal arousal,joy,77.1,75.0,2.27
The person is speaking in a frightened tone suggesting fear,fear,85.5,25.2,6.89
"The vocal expression conveys neutral, the tone is composed",neutral,68.6,62.0,1.25
"The vocal expression conveys excitement, the tone is excited",excitement,100.1,48.5,4.84
Voice analysis indicates contempt with faint intensity,contempt,75.3,43.4,3.51
"Audio emotional state: joy, detected from speech prosody",joy,86.7,50.9,3.86
Voice analysis indicates joy with standard intensity,joy,85.7,71.6,2.73
Voice calm indicator — the speaker sounds tranquil with moderate expression,calm,70.9,73.8,1.69
Emotional tone: fearful. Intensity level: standard. Classification: fear,fear,94.4,38.6,9.71
Voice frustration indicator — the speaker sounds exasperated with noticeable expression,frustration,89.3,42.7,4.28
Acoustic features suggest the person feels agitated while delivering a spoken utterance,frustration,99.4,43.3,4.73
Audio segment classified as calm based on placid vocal characteristics,calm,64.8,79.9,1.57
"Audio emotional state: disgust, detected from speech prosody",disgust,79.7,47.0,4.41
Speech emotion detection: cheerful voice pattern with moderate arousal,joy,83.5,50.4,2.94
Prosodic analysis of a reflective statement reveals standard disgust,disgust,74.3,49.0,5.51
Prosodic analysis of a suggestive phrase reveals standard anger,anger,88.5,29.5,5.62
Acoustic features suggest the person feels appalled while delivering a spoken utterance,disgust,85.4,40.2,4.95
Voice surprise indicator — the speaker sounds amazed with evident expression,surprise,87.8,53.3,3.23
Speech emotion detection: sorrowful voice pattern with low arousal,sadness,62.0,42.5,1.65
Speech emotion detection: terrified voice pattern with standard arousal,fear,101.8,43.7,6.34
The speaker sounds livid,anger,87.9,33.5,7.55
"Audio emotional state: frustration, detected from speech prosody",frustration,87.6,37.1,5.19
"Audio emotional state: sadness, detected from speech prosody",sadness,56.6,42.5,1.28
The speaker sounds enraged,anger,88.0,21.0,5.47
Voice anger indicator — the speaker sounds enraged with distinct expression,anger,101.0,26.2,6.04
Emotional tone: joyful. Intensity level: typical. Classification: joy,joy,83.7,75.4,2.86
The person is speaking in a angry tone suggesting anger,anger,93.0,30.9,6.64
Speech emotion detection: frustrated voice pattern with distinct arousal,frustration,86.8,27.3,5.54
Voice analysis indicates surprise with moderate intensity,surprise,85.1,42.5,4.43
Speech emotion detection: disgusted voice pattern with standard arousal,disgust,88.2,49.0,4.01
Audio segment classified as anxiety based on nervous vocal characteristics,anxiety,94.8,37.1,8.01
Speech emotion detection: fearful voice pattern with typical arousal,fear,103.1,27.1,6.3
Acoustic features suggest the person feels repulsed while delivering a workplace statement,disgust,88.6,44.5,6.37
Acoustic features suggest the person feels thrilled while delivering an emotional statement,excitement,92.2,45.9,5.81
Emotional tone: elated. Intensity level: moderate. Classification: joy,joy,85.1,62.9,3.35
"The vocal expression conveys contempt, the tone is derisive",contempt,85.9,41.2,4.9
Voice fear indicator — the speaker sounds fearful with moderate expression,fear,94.5,30.3,6.88
Emotional tone: exhilarated. Intensity level: moderate. Classification: excitement,excitement,93.3,57.2,4.75
The speaker sounds agitated,frustration,95.3,39.3,4.62
The person is speaking in a exhilarated tone suggesting excitement,excitement,91.7,50.1,4.11
"Audio emotional state: sadness, detected from speech prosody",sadness,58.6,51.4,1.03
Acoustic features suggest the person feels annoyed while delivering a workplace statement,frustration,81.2,44.1,6.39
The speaker's voice carries typical signs of being serene,calm,60.4,64.2,1.88
The person is speaking in a tranquil tone suggesting calm,calm,58.7,89.8,1.93
Audio segment classified as neutral based on impassive vocal characteristics,neutral,72.9,79.1,1.25
The speaker's voice carries standard signs of being frightened,fear,97.4,40.6,7.38
Acoustic features suggest the person feels anguished while delivering an emotional statement,grief,61.4,39.6,2.65
Voice anger indicator — the speaker sounds irate with normal expression,anger,100.9,36.8,7.53
The person is speaking in a downcast tone suggesting sadness,sadness,67.6,49.7,1.04
The person is speaking in a peaceful tone suggesting calm,calm,70.4,64.7,1.86
Speech emotion detection: thrilled voice pattern with noticeable arousal,excitement,97.1,41.5,5.27
The person is speaking in a repulsed tone suggesting disgust,disgust,82.3,52.5,6.76
"Audio emotional state: neutral, detected from speech prosody",neutral,67.5,57.2,1.83
Voice frustration indicator — the speaker sounds frustrated with noticeable expression,frustration,96.0,40.9,5.45
The speaker's voice carries standard signs of being irate,anger,98.3,38.6,5.16
"Audio emotional state: joy, detected from speech prosody",joy,78.3,64.3,2.08
The speaker sounds delighted,joy,85.2,75.1,2.48
"Audio emotional state: sadness, detected from speech prosody",sadness,62.3,42.8,1.31
Audio segment classified as frustration based on exasperated vocal characteristics,frustration,87.8,40.9,5.64
The speaker's voice carries moderate signs of being sad,sadness,59.8,54.6,1.41
Prosodic analysis of a suggestive phrase reveals moderate neutral,neutral,73.1,60.2,1.53
"Audio emotional state: anger, detected from speech prosody",anger,103.5,23.5,5.97
The speaker sounds sorrowful,sadness,60.7,50.2,1.11
The speaker sounds neutral,neutral,72.9,75.6,1.51
The speaker sounds terrified,fear,80.1,44.3,7.51
"Audio emotional state: fear, detected from speech prosody",fear,101.4,44.4,7.77
"The vocal expression conveys joy, the tone is pleased",joy,84.0,77.1,3.93
Audio segment classified as neutral based on impassive vocal characteristics,neutral,60.1,63.3,1.32
"The vocal expression conveys calm, the tone is tranquil",calm,64.3,62.0,1.83
"The vocal expression conveys frustration, the tone is exasperated",frustration,87.1,37.7,6.4
Voice fear indicator — the speaker sounds frightened with standard expression,fear,96.8,40.1,7.34
The person is speaking in a neutral tone suggesting neutral,neutral,63.5,71.4,1.42
Audio segment classified as sadness based on downcast vocal characteristics,sadness,58.3,45.9,1.68
The speaker's voice carries standard signs of being revolted,disgust,80.9,54.5,5.28
Voice analysis indicates joy with moderate intensity,joy,76.9,61.0,2.76
Acoustic features suggest the person feels terrified while delivering a suggestive phrase,fear,94.2,40.1,7.16
Prosodic analysis of a spoken utterance reveals noticeable excitement,excitement,104.5,45.7,6.26
Audio segment classified as sadness based on sorrowful vocal characteristics,sadness,67.5,41.8,1.03
The speaker's voice carries standard signs of being panicked,fear,98.2,28.6,8.82
"The vocal expression conveys sadness, the tone is gloomy",sadness,55.9,43.0,1.7
Acoustic features suggest the person feels furious while delivering a workplace statement,anger,107.7,27.2,5.74
Prosodic analysis of a workplace statement reveals normal joy,joy,83.9,51.5,3.82
Voice analysis indicates contempt with noticeable intensity,contempt,83.4,30.2,4.46
The speaker sounds worried,anxiety,87.4,32.4,5.78
"Audio emotional state: disgust, detected from speech prosody",disgust,88.3,50.9,5.49
The speaker's voice carries moderate signs of being impassive,neutral,69.4,58.5,1.05
The person is speaking in a even-toned tone suggesting neutral,neutral,68.8,74.3,1.81
Prosodic analysis of a motivational sentence reveals typical joy,joy,80.2,70.6,3.73
"Audio emotional state: joy, detected from speech prosody",joy,79.4,66.3,2.9
Acoustic features suggest the person feels downcast while delivering an emotional statement,sadness,56.8,44.5,1.21
"Audio emotional state: joy, detected from speech prosody",joy,80.0,52.3,3.89
Emotional tone: tense. Intensity level: subtle. Classification: anxiety,anxiety,87.6,33.3,5.78
The person is speaking in a sickened tone suggesting disgust,disgust,76.1,54.9,5.99
"The vocal expression conveys neutral, the tone is neutral",neutral,61.8,60.9,1.88
Emotional tone: anxious. Intensity level: standard. Classification: anxiety,anxiety,91.0,22.7,8.51
Speech emotion detection: uneasy voice pattern with noticeable arousal,anxiety,83.9,20.4,6.3
Speech emotion detection: anguished voice pattern with intense arousal,grief,50.8,47.4,2.84
Emotional tone: happy. Intensity level: mild. Classification: joy,joy,79.0,57.9,3.38
Voice grief indicator — the speaker sounds grief-stricken with standard expression,grief,58.3,48.2,2.44
Voice anger indicator — the speaker sounds irritated with standard expression,anger,108.4,30.4,6.71
The person is speaking in a exhilarated tone suggesting excitement,excitement,106.7,43.6,4.5
Voice frustration indicator — the speaker sounds annoyed with moderate expression,frustration,80.2,35.6,4.33
Voice fear indicator — the speaker sounds alarmed with normal expression,fear,102.3,37.0,9.24
The speaker's voice carries clear signs of being delighted,joy,83.3,78.5,3.98
Prosodic analysis of a spoken utterance reveals clear excitement,excitement,89.5,40.5,5.58
Prosodic analysis of a factual statement reveals typical joy,joy,86.1,55.5,3.05
The person is speaking in a devastated tone suggesting grief,grief,69.7,41.6,2.19
Prosodic analysis of a social interaction phrase reveals moderate joy,joy,72.5,66.1,2.89
Emotional tone: matter-of-fact. Intensity level: typical. Classification: neutral,neutral,66.3,71.2,1.92
Voice analysis indicates excitement with pronounced intensity,excitement,98.8,55.0,5.68
The speaker's voice carries moderate signs of being melancholy,sadness,64.0,44.3,1.7
Voice disgust indicator — the speaker sounds appalled with moderate expression,disgust,83.8,44.7,6.66
The speaker's voice carries faint signs of being pleased,joy,70.2,62.6,3.16
Acoustic features suggest the person feels contemptuous while delivering a factual statement,contempt,82.8,45.4,4.14
Audio segment classified as joy based on happy vocal characteristics,joy,71.5,68.3,3.81
Acoustic features suggest the person feels pleased while delivering a reflective statement,joy,83.0,52.9,2.77
"Audio emotional state: surprise, detected from speech prosody",surprise,77.2,43.6,4.67
The person is speaking in a exasperated tone suggesting frustration,frustration,96.8,29.5,4.72
Audio segment classified as sadness based on sad vocal characteristics,sadness,66.5,59.5,1.67
The speaker's voice carries evident signs of being repulsed,disgust,76.5,48.2,4.35
Acoustic features suggest the person feels fearful while delivering a reflective statement,fear,100.5,36.3,8.07
"Audio emotional state: anger, detected from speech prosody",anger,89.1,23.7,6.39
Prosodic analysis of a motivational sentence reveals typical anger,anger,96.7,33.0,5.05
Prosodic analysis of a spoken utterance reveals moderate surprise,surprise,93.0,45.9,5.21
The person is speaking in a calm tone suggesting calm,calm,67.5,61.9,1.95
Voice disgust indicator — the speaker sounds revolted with moderate expression,disgust,87.9,42.2,5.95
Emotional tone: elated. Intensity level: noticeable. Classification: joy,joy,71.2,68.9,3.43
Speech emotion detection: melancholy voice pattern with normal arousal,sadness,59.7,42.5,1.76
The person is speaking in a disdainful tone suggesting contempt,contempt,82.4,44.7,3.71
Voice disgust indicator — the speaker sounds revolted with normal expression,disgust,75.4,36.2,5.24
Emotional tone: incensed. Intensity level: normal. Classification: anger,anger,96.1,24.3,5.12
Audio segment classified as anger based on incensed vocal characteristics,anger,97.5,40.0,6.24
The speaker's voice carries normal signs of being pleased,joy,70.1,64.1,3.12
Voice analysis indicates neutral with normal intensity,neutral,60.3,59.2,1.23
The speaker's voice carries typical signs of being joyful,joy,73.4,62.3,3.18
Emotional tone: gloomy. Intensity level: moderate. Classification: sadness,sadness,55.8,42.9,1.44
Speech emotion detection: fearful voice pattern with moderate arousal,fear,84.5,44.3,7.06
Voice analysis indicates sadness with standard intensity,sadness,59.9,51.3,1.4
Prosodic analysis of an emotional statement reveals low joy,joy,89.1,64.5,2.77
The speaker's voice carries typical signs of being irritated,anger,91.1,37.8,5.52
The speaker sounds revolted,disgust,86.3,39.9,6.8
"Audio emotional state: anxiety, detected from speech prosody",anxiety,80.7,36.5,8.02
Prosodic analysis of a transactional statement reveals moderate anger,anger,106.4,37.3,7.72
Acoustic features suggest the person feels downcast while delivering a workplace statement,sadness,58.9,45.0,1.77
Emotional tone: angry. Intensity level: moderate. Classification: anger,anger,86.6,33.5,7.81
The speaker sounds serene,calm,69.9,63.8,0.83
Acoustic features suggest the person feels peaceful while delivering a workplace statement,calm,71.2,63.0,0.88
Audio segment classified as sadness based on gloomy vocal characteristics,sadness,67.8,46.1,2.0
The speaker sounds panicked,fear,95.9,28.5,7.92
Voice analysis indicates neutral with moderate intensity,neutral,66.1,59.8,1.25
The person is speaking in a livid tone suggesting anger,anger,91.2,24.3,5.65
Acoustic features suggest the person feels incensed while delivering a spoken utterance,anger,91.3,39.5,5.67
Prosodic analysis of a thoughtful expression reveals standard anger,anger,91.8,37.7,5.15
Emotional tone: dejected. Intensity level: moderate. Classification: sadness,sadness,65.4,51.0,1.92
The speaker sounds exhilarated,excitement,107.7,41.0,6.23
Emotional tone: elated. Intensity level: slight. Classification: joy,joy,89.1,60.3,3.81
Prosodic analysis of a conversational statement reveals moderate neutral,neutral,66.7,76.0,1.89
